procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30978120  64036 987628    0    0    15     4    7   31  0  0 100  0  0 2024-05-16 19:31:20
 1  0      0 30978324  64036 987688    0    0     0     0   79  451  0  0 100  0  0 2024-05-16 19:31:21
 0  0      0 30978324  64044 987692    0    0     0    68   90  485  0  0 100  0  0 2024-05-16 19:31:22
 1  0      0 30978324  64044 987696    0    0     0     0   57  445  0  0 100  0  0 2024-05-16 19:31:23
 0  0      0 30978324  64044 987696    0    0     0     0   65  498  0  0 100  0  0 2024-05-16 19:31:24
 0  0      0 30978324  64044 987700    0    0     0     0   69  428  0  0 100  0  0 2024-05-16 19:31:25
 0  0      0 30978324  64044 987700    0    0     0     0   74  459  0  0 100  0  0 2024-05-16 19:31:26
 0  1      0 30978136  64052 987704    0    0     0    24   81  469  0  0 100  0  0 2024-05-16 19:31:27
 0  0      0 30977636  64052 987704    0    0     0  9568   83  537  0  0 100  0  0 2024-05-16 19:31:28
 0  0      0 30977636  64052 987704    0    0     0     0   67  470  0  0 100  0  0 2024-05-16 19:31:29
 0  0      0 30977888  64052 987708    0    0     0     0   71  472  0  0 100  0  0 2024-05-16 19:31:30
 0  0      0 30977888  64052 987712    0    0     0     0   72  484  0  0 100  0  0 2024-05-16 19:31:31
 0  0      0 30977888  64060 987712    0    0     0    84   81  489  0  0 100  0  0 2024-05-16 19:31:32
 0  0      0 30977412  64064 987716    0    0     0 91688  101  510  0  0 100  0  0 2024-05-16 19:31:33
 0  0      0 30977412  64064 987716    0    0     0     0   68  443  0  0 100  0  0 2024-05-16 19:31:34
 0  0      0 30977160  64064 987720    0    0     0     0   70  486  0  0 100  0  0 2024-05-16 19:31:35
 1  0      0 30977160  64064 987720    0    0     0     0   60  459  0  0 100  0  0 2024-05-16 19:31:36
 0  1      0 30975548  64076 987712    0    0     0    52   72  484  0  0 100  0  0 2024-05-16 19:31:37
 1  0      0 30977392  64076 987724    0    0     0     0   74  499  0  0 100  0  0 2024-05-16 19:31:38
 0  0      0 30977392  64076 987728    0    0     0     0   70  457  0  0 100  0  0 2024-05-16 19:31:39
 0  0      0 30977392  64076 987728    0    0     0     0   69  482  0  0 100  0  0 2024-05-16 19:31:40
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30977392  64076 987732    0    0     0     0   70  496  0  0 100  0  0 2024-05-16 19:31:41
 0  1      0 30977392  64084 987724    0    0     0    24   74  496  0  0 100  0  0 2024-05-16 19:31:42
 0  0      0 30977392  64084 987736    0    0     0     0   77  506  0  0 100  0  0 2024-05-16 19:31:43
