Linux 5.15.146.1-microsoft-standard-WSL2 (URIPEL) 	05/16/24 	_x86_64_	(24 CPU)

19:31:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:23     all    0.00    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   99.96
19:31:23       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23       6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:31:23       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:23      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

19:31:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:24     all    0.08    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   99.88
19:31:24       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24       2    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:31:24       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      13    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
19:31:24      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:24      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

19:31:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:25     all    0.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.96
19:31:25       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25       8    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:25       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:25      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

19:31:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:26     all    0.04    0.00    0.08    0.04    0.00    0.00    0.00    0.00    0.00   99.83
19:31:26       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
