procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30968020  91184 956696    0    0    13     3    7   27  0  0 100  0  0 2024-05-16 19:31:22
 0  0      0 30968048  91184 956724    0    0     0     0   65  423  0  0 100  0  0 2024-05-16 19:31:23
 0  0      0 30967800  91184 956724    0    0     0     0   65  442  0  0 100  0  0 2024-05-16 19:31:24
 0  0      0 30967296  91184 956748    0    0     0     0   70  460  0  0 100  0  0 2024-05-16 19:31:25
 0  0      0 30969288  91192 956748    0    0     0    64   92  521  0  0 100  0  0 2024-05-16 19:31:26
 0  0      0 30969288  91192 956752    0    0     0     0   71  427  0  0 100  0  0 2024-05-16 19:31:27
 0  0      0 30969288  91192 956756    0    0     0     0   63  402  0  0 100  0  0 2024-05-16 19:31:28
 0  0      0 30969288  91192 956756    0    0     0     0   65  418  0  0 100  0  0 2024-05-16 19:31:29
 0  0      0 30969288  91192 956760    0    0     0     0   67  438  0  0 100  0  0 2024-05-16 19:31:30
 0  1      0 30969288  91200 956752    0    0     0    24   76  456  0  0 100  0  0 2024-05-16 19:31:31
 0  0      0 30966992  91200 956764    0    0     0     4   77  443  0  0 100  0  0 2024-05-16 19:31:32
 0  0      0 30966992  91200 956768    0    0     0     0   61  394  0  0 100  0  0 2024-05-16 19:31:33
 0  0      0 30966992  91200 956768    0    0     0     0   62  411  0  0 100  0  0 2024-05-16 19:31:34
 0  0      0 30895528  91200 956788    0    0     0     0  217 1858 12  1 87  0  0 2024-05-16 19:31:35
 0  1      0 30894776  91208 956792    0    0     0    24   60  398  0  0 100  0  0 2024-05-16 19:31:36
 0  0      0 30971108  91212 956836    0    0    48 51696  109  520  0  0 100  0  0 2024-05-16 19:31:37
 0  0      0 30971108  91212 956836    0    0     0     0   61  436  0  0 100  0  0 2024-05-16 19:31:38
 0  0      0 30970884  91212 956844    0    0     0     0   64  428  0  0 100  0  0 2024-05-16 19:31:39
 0  0      0 30970884  91212 956848    0    0     0     0   71  440  0  0 100  0  0 2024-05-16 19:31:40
 0  0      0 30971136  91224 956840    0    0     0    80   74  474  0  0 100  0  0 2024-05-16 19:31:41
 0  0      0 30971136  91224 956852    0    0     0 50016   88  456  0  0 100  0  0 2024-05-16 19:31:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 1  0      0 30816664  91224 956856    0    0     0     0  423 2089 14  1 85  0  0 2024-05-16 19:31:43
