"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss"
"jumping-sweep-63","crashed","-","","","2024-07-25T10:00:34.000Z","1101","5sz5a8c4","leaky_relu","1","0.5","100","256","32","0.1","","","","std","","","","","","","","","64","3","sgd","none","","","","","100","0.9565179604121684","0.0018906877667177469","0.86503544231252","0.018215431831777096","0.9568536527903804","0.0018616072775330397"
"valiant-sweep-62","finished","-","","","2024-07-25T09:57:09.000Z","202","5sz5a8c4","leaky_relu","8","0.3","30","64","64","0.1","","","","none","","","","","","","","","32","2","adam","none","","","","","30","0.8056405479433758","0.03777559660375118","0.7877354948559854","0.04505622014403343","0.8058475613110859","0.03769516944885254"
"tough-sweep-61","finished","-","","","2024-07-25T09:50:31.000Z","396","5sz5a8c4","elu","64","0.7","60","64","64","0.01","","","","min-max","","","","","","","","","16","2","adam","none","","","","","60","0.8648183844539375","0.018274069181643423","0.8977165171661965","0.010461910860612988","0.8647261089498615","0.01829902559984475"
"golden-sweep-60","finished","-","","","2024-07-25T09:43:46.000Z","399","5sz5a8c4","relu","100","0.5","60","128","32","0.1","","","","std","","","","","","","","","64","3","adamw","none","","","","","60","0.7622229054636493","0.05653794668614864","0.7619776725468135","0.05665462836623192","0.7622229015468609","0.05653794854879379"
"giddy-sweep-59","finished","-","","","2024-07-25T09:37:12.000Z","393","5sz5a8c4","softplus","1","0.7","60","64","32","0.1","","","","none","","","","","","","","","32","2","sgd","none","","","","","60","NaN","NaN","NaN","NaN","NaN","NaN"
"silver-sweep-58","finished","-","","","2024-07-25T09:26:21.000Z","646","5sz5a8c4","relu","64","0.3","100","256","64","0.0001","","","","min-max","","","","","","","","","32","2","adam","none","","","","","100","0.8528776930710734","0.021644973196089268","0.8109829405543956","0.035727448761463165","0.8533621654079915","0.021502654533833265"
"icy-sweep-57","finished","-","","","2024-07-25T09:19:43.000Z","393","5sz5a8c4","softplus","100","0.3","60","256","64","0.0001","","","","none","","","","","","","","","16","2","adamw","none","","","","","60","0.7470746445750652","0.06397123541682959","0.6676552569516719","0.1104530282318592","0.7471470581043989","0.06393461022526026"
"dutiful-sweep-56","finished","-","","","2024-07-25T09:16:15.000Z","203","5sz5a8c4","leaky_relu","64","0.5","30","256","64","0.0001","","","","none","","","","","","","","","64","3","adamw","none","","","","","30","0.6120097365863236","0.15053644450381398","0.5895888677728558","0.16843729745596647","0.6122276995304863","0.1503673570114188"
"dauntless-sweep-55","finished","-","","","2024-07-25T09:12:53.000Z","201","5sz5a8c4","relu","64","0.7","30","256","64","0.001","","","","none","","","","","","","","","32","2","adamw","none","","","","","30","0.8917739322692664","0.011712881736457348","0.8060187648684705","0.037628719583153725","0.8920492598094041","0.011653362307697536"
"icy-sweep-54","finished","-","","","2024-07-25T09:11:38.000Z","73","5sz5a8c4","leaky_relu","8","0.3","10","256","64","0.0001","","","","min-max","","","","","","","","","16","3","adamw","none","","","","","10","0.5472911503312796","0.2049453025683761","0.5435150856577495","0.2083784770220518","0.5473341452255043","0.2049063760787249"
