"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons"
"serene-sweep-5","finished","-","","","2024-07-27T22:10:06.000Z","12","ezvgpryr","hardelish","20","0.361833721278418","500","","","0.07275684226110177","","","","none","","","","","","","","","","","adamw","none","","","","","","","","compress","0.8956651145496018","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","6","0.07150383353010448","0.862105131149292","0.05509743239095288","0.8928408622741699","0.07150733215441518","0.8620986342430115","Input Layer: 10 neurons
Hidden Layer 1: 46 neurons
Hidden Layer 2: 35 neurons
Hidden Layer 3: 18 neurons
Hidden Layer 4: 15 neurons
Output Layer: 1 neuron","46","35","18","15",""
"wandering-sweep-4","failed","-","","","2024-07-27T22:09:26.000Z","31","ezvgpryr","gelu","44","0.6638779722227034","500","","","0.018606670194232483","","","","group","","","","","","","","","","","asgd","none","","","","","","","","maintain","0.6970647398273313","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 90 neurons
Hidden Layer 2: 90 neurons
Hidden Layer 3: 76 neurons
Hidden Layer 4: 76 neurons
Output Layer: 1 neuron","90","90","76","76",""
"zesty-sweep-3","finished","-","","","2024-07-27T22:03:25.000Z","354","ezvgpryr","relu","39","0.5338308013177284","500","","","0.0007297741226281153","","","","min-max","","","","","","","","","","","sgd","none","","","","","","","","compress","0.2888767033071663","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","false","","376","0.956246339629658","0.0019143827958032489","0.8150688549861609","0.03419952839612961","0.9562306921959096","0.001915752305649221","Input Layer: 10 neurons
Hidden Layer 1: 192 neurons
Hidden Layer 2: 147 neurons
Output Layer: 1 neuron","192","147","","",""
"autumn-sweep-2","failed","-","","","2024-07-27T22:02:49.000Z","29","ezvgpryr","squ","50","0.3685550988425544","500","","","0.02368229340844651","","","","instance","","","","","","","","","","","nadam","none","","","","","","","","compress","0.6078235385239464","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 205 neurons
Hidden Layer 2: 155 neurons
Output Layer: 1 neuron","205","155","","",""
"winter-sweep-1","finished","-","","","2024-07-27T22:01:53.000Z","55","ezvgpryr","dsu","68","0.45957677974983857","500","","","0.013945286126269643","","","","min-max","","","","","","","","","","","adamax","none","","","","","","","","compress","0.5804577411135176","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","6","0.681025263128203","0.1017448827624321","0.8164275465797605","0.03369884565472603","0.6814663316842249","0.1014636978507042","Input Layer: 10 neurons
Hidden Layer 1: 193 neurons
Hidden Layer 2: 172 neurons
Hidden Layer 3: 172 neurons
Hidden Layer 4: 105 neurons
Output Layer: 1 neuron","193","172","172","105",""
"stilted-sweep-4","failed","-","","","2024-07-27T21:53:24.000Z","6","lbwj58lo","selu","21","0.5430723697460846","500","","","0.04221828846711889","","","","group","","","","","","","","","","","adamax","none","","","","","","","","compress","0.7305823283897714","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","5","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 50 neurons
Hidden Layer 2: 38 neurons
Hidden Layer 3: 29 neurons
Hidden Layer 4: 22 neurons
Hidden Layer 5: 22 neurons
Output Layer: 1 neuron","50","38","29","22","22"
"jolly-sweep-3","finished","-","","","2024-07-27T21:48:54.000Z","267","lbwj58lo","gelu","12","0.6358729962619608","500","","","0.039482707449893975","","","","none","","","","","","","","","","","rmsprop","none","","","","","","","","expand","0.7008699355684014","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","3","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","false","","325","0.29251206115111883","0.5005391836166382","-10.825118817948248","139.83343505859375","0.29251206115111883","0.5005391836166382","Input Layer: 10 neurons
Hidden Layer 1: 41 neurons
Hidden Layer 2: 67 neurons
Hidden Layer 3: 110 neurons
Output Layer: 1 neuron","41","67","110","",""
"easy-sweep-2","failed","-","","","2024-07-27T21:48:19.000Z","26","lbwj58lo","softplus","44","0.6627957917891287","500","","","0.02967069442614901","","","","group","","","","","","","","","","","adadelta","none","","","","","","","","maintain","0.331402404462015","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","5","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 206 neurons
Hidden Layer 2: 206 neurons
Hidden Layer 3: 206 neurons
Hidden Layer 4: 206 neurons
Hidden Layer 5: 206 neurons
Output Layer: 1 neuron","206","206","206","206","206"
"efficient-sweep-1","finished","-","","","2024-07-27T21:41:25.000Z","411","lbwj58lo","elish","49","0.3816078939297031","500","","","0.01244325652956673","","","","none","","","","","","","","","","","sgd","none","","","","","","","","maintain","0.04736326819766871","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","5","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","500","0.9999487572161914","2.625822892454721e-9","0.9942978901064092","0.00003251405723858625","0.9999473149263112","2.7757169895892275e-9","Input Layer: 10 neurons
Hidden Layer 1: 226 neurons
Hidden Layer 2: 226 neurons
Hidden Layer 3: 316 neurons
Hidden Layer 4: 205 neurons
Hidden Layer 5: 283 neurons
Output Layer: 1 neuron","226","226","316","205","283"
"divine-sweep-2","crashed","-","","","2024-07-27T21:16:51.000Z","1233","ifwt95ny","swish","64","0.37908513444162945","500","","","0.08583001256417272","","","","std","","","","","","","","","","","rmsprop","none","","","","","","","","maintain","0.06286242554795722","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","29","","","-207.260583652128","43372.470703125","-62.685465382429","4055.8385009765625","Input Layer: 10 neurons
Hidden Layer 1: 127 neurons
Hidden Layer 2: 127 neurons
Output Layer: 1 neuron","127","127","","",""
