"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons","hidden_layer_6_neurons","hidden_layer_7_neurons"
"dazzling-sweep-36","finished","-","","","2024-07-29T14:50:30.000Z","676","cxuwpl54","elu","43","0.20564728331103743","5000","","","0.0018829576574538355","","","","min-max","","","","","","","","","","","nadam","none","","","","","","","","compress","0.5674623243506917","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","5","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","true","","4553","0.9994872202467792","2.629430753131601e-7","0.9695974151393468","0.0009243171662092208","0.999486148443815","2.6404342179375817e-7","Input Layer: 10 neurons
Hidden Layer 1: 38 neurons
Hidden Layer 2: 23 neurons
Hidden Layer 3: 37 neurons
Hidden Layer 4: 60 neurons
Hidden Layer 5: 36 neurons
Output Layer: 1 neuron","38","23","37","60","36","",""
"rosy-sweep-15","finished","-","","","2024-07-29T08:51:01.000Z","390","45hzg2jd","gelu","48","0.228243239226068","5000","","","0.018197606647722776","","","","min-max","","","","","","","","","","","adamw","none","","","","","","","","expand","0.8396386914105279","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","true","","1203","0.9903367058207526","0.00009337925439467654","0.9595813686865357","0.001633665757253766","0.9902933118497532","0.00009421979484613983","Input Layer: 10 neurons
Hidden Layer 1: 156 neurons
Hidden Layer 2: 221 neurons
Hidden Layer 3: 313 neurons
Hidden Layer 4: 313 neurons
Output Layer: 1 neuron","156","221","313","313","","",""
"drawn-sweep-3","finished","-","","","2024-07-30T02:09:46.000Z","2519","xxeoz0mu","gelu","74","0.20304071156454215","10000","","","0.0405006638059133","","","","min-max","","","","","","","","","","","adadelta","none","","","","","","","","expand","0.41360240432742373","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","10000","0.983531092581549","0.0002712249115575105","0.9677815790779416","0.0010380266467109325","0.9834695702578946","0.00027325510745868087","Input Layer: 10 neurons
Hidden Layer 1: 473 neurons
Hidden Layer 2: 801 neurons
Hidden Layer 3: 1024 neurons
Hidden Layer 4: 1024 neurons
Hidden Layer 5: 1024 neurons
Hidden Layer 6: 1024 neurons
Hidden Layer 7: 1024 neurons
Output Layer: 1 neuron","473","801","1024","1024","1024","1024","1024"
"solar-sweep-8","finished","-","","","2024-07-31T02:55:37.000Z","1077","hflbsxpa","gelu","35","0.2635274651255118","10000","","","0.09808338069671316","","","","min-max","","","","","","","","","","","adadelta","none","","","","","","","","expand","0.6936527605524961","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","10000","0.98212582980772","0.0003194859600625932","0.9788326246962852","0.00044805777724832296","0.9819792901734552","0.0003247459826525301","Input Layer: 10 neurons
Hidden Layer 1: 163 neurons
Hidden Layer 2: 316 neurons
Hidden Layer 3: 419 neurons
Output Layer: 1 neuron","163","316","419","","","",""
"treasured-sweep-46","finished","-","","","2024-07-29T15:51:58.000Z","875","cxuwpl54","gelu","48","0.2260320616924926","5000","","","0.09932728470911384","","","","std","","","","","","","","","","","asgd","none","","","","","","","","maintain","0.8037654721713707","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","3751","0.9816604724391796","0.00033633827115409076","0.9712495511691904","0.0008265883079729974","0.9817418538301264","0.00033335990156047046","Input Layer: 10 neurons
Hidden Layer 1: 312 neurons
Hidden Layer 2: 312 neurons
Hidden Layer 3: 387 neurons
Hidden Layer 4: 405 neurons
Hidden Layer 5: 405 neurons
Hidden Layer 6: 259 neurons
Output Layer: 1 neuron","312","312","387","405","405","259",""
"confused-sweep-25","finished","-","","","2024-07-29T20:11:18.000Z","298","zy9d9bjc","mish","19","0.25374077088449243","10000","","","0.015586442292978876","","","","none","","","","","","","","","","","adamw","none","","","","","","","","compress","0.6003539885051777","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","2734","0.9811299414861908","0.00035607910831458867","0.944304694611556","0.003101967042312026","0.981394026135236","0.000346182263456285","Input Layer: 10 neurons
Hidden Layer 1: 367 neurons
Hidden Layer 2: 224 neurons
Hidden Layer 3: 409 neurons
Hidden Layer 4: 717 neurons
Output Layer: 1 neuron","367","224","409","717","","",""
"pious-sweep-48","finished","-","","","2024-07-29T16:14:23.000Z","53","cxuwpl54","gelu","20","0.2667846257741919","5000","","","0.026170521147713767","","","","none","","","","","","","","","","","adam","none","","","","","","","","expand","0.021149347939863485","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","2","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","368","0.980664241405072","0.0003738715604413301","0.9033014575964184","0.009350608102977276","0.9806830841725666","0.0003731432370841503","Input Layer: 10 neurons
Hidden Layer 1: 232 neurons
Hidden Layer 2: 421 neurons
Output Layer: 1 neuron","232","421","","","","",""
"jolly-sweep-28","finished","-","","","2024-07-29T13:57:16.000Z","796","cxuwpl54","swish","10","0.2902910221994449","5000","","","0.04824266407516002","","","","min-max","","","","","","","","","","","sgd","none","","","","","","","","expand","0.4427762365614961","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","5","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","4832","0.9786008389840052","0.0004579240921884775","0.9623262923763356","0.00141930824611336","0.9785587794322272","0.0004597259394358843","Input Layer: 10 neurons
Hidden Layer 1: 324 neurons
Hidden Layer 2: 341 neurons
Hidden Layer 3: 359 neurons
Hidden Layer 4: 378 neurons
Hidden Layer 5: 398 neurons
Output Layer: 1 neuron","324","341","359","378","398","",""
"lucky-sweep-4","finished","-","","","2024-07-30T02:51:48.000Z","891","xxeoz0mu","elu","70","0.260099851196378","10000","","","0.0994499498180854","","","","std","","","","","","","","","","","adadelta","none","","","","","","","","compress","0.5850610444812053","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","6022","0.9694236282210792","0.0009349145111627876","0.9669227655089836","0.0010941034415736794","0.9693621924751992","0.000938675249926746","Input Layer: 10 neurons
Hidden Layer 1: 246 neurons
Hidden Layer 2: 177 neurons
Hidden Layer 3: 127 neurons
Output Layer: 1 neuron","246","177","127","","","",""
"faithful-sweep-20","finished","-","","","2024-07-29T06:51:49.000Z","154","28r9axv2","swish","68","0.657368770420627","5000","","","0.03297101623521458","","","","none","","","","","","","","","","","adamax","none","","","","","","","","compress","0.08186346501301672","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","1673","0.9683214878783624","0.0010035281302407384","0.9323238592996826","0.0045800600200891495","0.9683393087997072","0.0010023993672803044","Input Layer: 10 neurons
Hidden Layer 1: 85 neurons
Hidden Layer 2: 82 neurons
Hidden Layer 3: 79 neurons
Output Layer: 1 neuron","85","82","79","","","",""
