"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.time_shift_range_max","parameters.time_shift_range_min","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","time_shift_range_max","time_shift_range_min","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons","hidden_layer_6_neurons","hidden_layer_7_neurons","combined_metric","combined_metric_accuracy","combined_metric_loss","hidden_dim_scale_factor"
"still-sweep-1","finished","-","","","2024-08-07T21:11:38.000Z","17","hcdlef64","hardelish","31","0.7897807374302728","10000","","","0.08075563021893283","","","","none","","","","","","","","","","","sgd","none","","","","","","","","maintain","0.6827003967649894","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","302","1","0","1","0","1","0","Input Layer: 10 neurons
Hidden Layer 1: 512 neurons
Hidden Layer 2: 512 neurons
Hidden Layer 3: 512 neurons
Hidden Layer 4: 512 neurons
Output Layer: 1 neuron","512","512","512","512","","","","","1","0","1.0236372283993704"
"rich-sweep-2","finished","-","","","2024-08-07T21:11:59.000Z","147","hcdlef64","selu","37","0.33348206578614903","10000","","","0.03651403350263296","","","","std","","","","","","","","","","","adam","none","","","","","","","","compress","0.7594296646138675","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","1877","0.9999999403953552","3.552713678800501e-15","0.9999997532598468","6.088070314807377e-14","0.9999999403953552","3.552713678800501e-15","Input Layer: 10 neurons
Hidden Layer 1: 190 neurons
Hidden Layer 2: 95 neurons
Hidden Layer 3: 47 neurons
Hidden Layer 4: 23 neurons
Output Layer: 1 neuron","190","95","47","23","","","","","0.9999998780168524","2.2662043501891587e-14","1.9861705419920168"
"elated-sweep-3","finished","-","","","2024-08-07T19:09:03.000Z","112","azbkw6ds","hardelish","72","0.5461066098728309","10000","","","0.06519513759875488","","","","min-max","","","","","","","","","","","sgd","none","","","","","","","","compress","0.1474182562750707","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","1792","0.9999997665288471","5.4508779217740666e-14","0.9999995978289866","1.6174152403687639e-13","0.9999997678975524","5.3871546167125895e-14","Input Layer: 10 neurons
Hidden Layer 1: 49 neurons
Hidden Layer 2: 28 neurons
Hidden Layer 3: 16 neurons
Hidden Layer 4: 9 neurons
Output Layer: 1 neuron","49","28","16","9","","","","","0.9999997107517954","9.00406164739143e-14","1.7424118526415393"
"toasty-sweep-1","finished","-","","","2024-08-07T21:36:10.000Z","212","2d0pnoxs","elish","7","0.6760015126690844","10000","","","0.04002373423169163","","","","min-max","","","","","","","","","","","adamw","none","","","","","","","","expand","0.13664142968437218","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","6048","0.9999812812988498","3.5038977275192446e-10","0.9999429294708266","3.257045300131267e-9","0.9999812813937474","3.5038622003824566e-10","Input Layer: 10 neurons
Hidden Layer 1: 10 neurons
Hidden Layer 2: 14 neurons
Hidden Layer 3: 20 neurons
Hidden Layer 4: 29 neurons
Output Layer: 1 neuron","10","14","20","29","","","","","0.999968497387808","1.3192737643071455e-9","1.4551391395157285"
"logical-sweep-3","finished","-","","","2024-08-07T17:08:38.000Z","94","y4a4lopy","gcu","68","0.6689557449450787","10000","","","0.0866234832341345","","","","none","","","","","","","","","","","asgd","none","","","","","","","","maintain","0.8710056770825266","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","3181","0.9999752759692784","6.112776951283648e-10","0.9999099132827596","8.115616623172173e-9","0.999975213281084","6.14381434616007e-10","Input Layer: 10 neurons
Hidden Layer 1: 22 neurons
Hidden Layer 2: 22 neurons
Hidden Layer 3: 22 neurons
Hidden Layer 4: 22 neurons
Hidden Layer 5: 22 neurons
Hidden Layer 6: 22 neurons
Hidden Layer 7: 22 neurons
Output Layer: 1 neuron","22","22","22","22","22","22","22","","0.9999534675110406","3.113758584305515e-9","1.198149985724272"
"skilled-sweep-1","finished","-","","","2024-08-07T20:15:11.000Z","125","rfkvx8q1","selu","17","0.34870176113781515","10000","","","0.06183510184254205","","","","min-max","","","","","","","","","","","asgd","none","","","","","","","","compress","0.6442110519092251","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","2604","0.9998847573402534","1.3280870625465012e-8","0.9998351080243024","2.7189363649426923e-8","0.9998849891271556","1.3227500872403652e-8","Input Layer: 10 neurons
Hidden Layer 1: 439 neurons
Hidden Layer 2: 353 neurons
Hidden Layer 3: 277 neurons
Hidden Layer 4: 198 neurons
Hidden Layer 5: 109 neurons
Hidden Layer 6: 83 neurons
Hidden Layer 7: 54 neurons
Output Layer: 1 neuron","439","353","277","198","109","83","54","","0.9998682848305706","1.7899245049098532e-8","1.2418139704612452"
"royal-sweep-3","finished","-","","","2024-08-07T20:34:19.000Z","83","qznivpm8","elu","53","0.5381350274630669","10000","","","0.008541060423270288","","","","none","","","","","","","","","","","adamw","none","","","","","","","","maintain","0.6348357604924233","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","3237","0.999970618540241","8.632701775646011e-10","0.9997081825741796","8.515741001247079e-8","0.9999705368262232","8.68078608995404e-10","Input Layer: 10 neurons
Hidden Layer 1: 26 neurons
Hidden Layer 2: 26 neurons
Hidden Layer 3: 26 neurons
Hidden Layer 4: 26 neurons
Output Layer: 1 neuron","26","26","26","26","","","","","0.9998831126468812","2.8962919599676933e-8","1.9308639017317315"
"exalted-sweep-3","finished","-","","","2024-08-07T18:09:26.000Z","273","7eeq352u","relu","12","0.4028614150469549","10000","","","0.0990962926421784","","","","none","","","","","","","","","","","sgd","none","","","","","","","","expand","0.7463731180277712","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","10000","0.9998322262544828","2.8148029684871293e-8","0.9992990293878694","4.913597990707785e-7","0.9998325031212772","2.8055204381871593e-8","Input Layer: 10 neurons
Hidden Layer 1: 60 neurons
Hidden Layer 2: 101 neurons
Hidden Layer 3: 191 neurons
Hidden Layer 4: 293 neurons
Hidden Layer 5: 185 neurons
Hidden Layer 6: 185 neurons
Hidden Layer 7: 182 neurons
Output Layer: 1 neuron","60","101","191","293","185","185","182","","0.9996545862545432","1.825210110458405e-7","1.6909565796748316"
"woven-sweep-1","finished","-","","","2024-08-07T19:27:19.000Z","78","ltxgnj70","leaky_relu","73","0.2492195650912457","10000","","","0.06203473728021641","","","","none","","","","","","","","","","","sgd","none","","","","","","","","compress","0.6192726681242172","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","2771","0.9999790457112974","4.3908221503130557e-10","0.9987994600120016","0.0000014412962627829984","0.999979168295898","4.3395989579586564e-10","Input Layer: 10 neurons
Hidden Layer 1: 209 neurons
Hidden Layer 2: 105 neurons
Hidden Layer 3: 61 neurons
Hidden Layer 4: 40 neurons
Hidden Layer 5: 27 neurons
Hidden Layer 6: 16 neurons
Hidden Layer 7: 10 neurons
Output Layer: 1 neuron","209","105","61","40","27","16","10","","0.9995858913397324","4.807231016312752e-7","1.97542739153265"
"unique-sweep-3","finished","-","","","2024-08-07T19:57:22.000Z","106","0b8x91hk","hardelish","95","0.4593236709196947","10000","","","0.010089180463606072","","","","min-max","","","","","","","","","","","adam","none","","","","","","","","maintain","0.10037134598484816","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","2","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","1843","0.9997847972587608","4.631221983686373e-8","0.9981806598945347","0.0000033099984193540877","0.999780704442984","4.8090541326928367e-8","Input Layer: 10 neurons
Hidden Layer 1: 434 neurons
Hidden Layer 2: 434 neurons
Output Layer: 1 neuron","434","434","","","","","","","0.9992487205320932","0.00000113480039350596","1.8865135037181384"
