"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","apply_penalty","huber_delta","loss_function","parameters.apply_penaltys","parameters.penalty_factor_max","parameters.penalty_factor_min","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.time_shift_range_max","parameters.time_shift_range_min","penalty_factor_max","penalty_factor_min","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","time_shift_range_max","time_shift_range_min","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons","hidden_layer_6_neurons","hidden_layer_7_neurons","combined_metric","combined_metric_accuracy","combined_metric_loss","hidden_dim_scale_factor","penalty_factor"
"dashing-sweep-1","failed","-","","","2024-08-18T03:14:17.000Z","25","7lyp7w6g","leaky_relu","27","0.6092795867786358","10000","","","0.02381158588494622","","","","std","","","","","","","","","","","rmsprop","none","","","","","","","","compress","0.49342020849363455","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","5","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","true","","","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 354 neurons
Hidden Layer 2: 205 neurons
Hidden Layer 3: 141 neurons
Hidden Layer 4: 107 neurons
Hidden Layer 5: 55 neurons
Output Layer: 1 neuron","354","205","141","107","55","","","","","","1.7218475745811928",""
"dry-sweep-1","crashed","-","","","2024-08-18T03:03:40.000Z","393","ovtonyop","swish","100","0.4320867965084305","10000","","","0.030344916224866902","","","","none","","","","","","","","","","","adadelta","sigmoid","","","","","","","","compress","0.1999423716553525","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","5","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","false","1.6214305678185783","huber","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 363 neurons
Hidden Layer 2: 214 neurons
Hidden Layer 3: 126 neurons
Hidden Layer 4: 74 neurons
Hidden Layer 5: 43 neurons
Output Layer: 1 neuron","363","214","126","74","43","","","","","","1.6939046798577733","0"
"pious-sweep-2","crashed","-","","","2024-08-18T02:58:25.000Z","0","pogt1nw5","dsu","14","0.5746385017984987","10000","","","0.07098516723800592","","","","std","","","","","","","","","","","adadelta","none","","","","","","","","expand","0.02555595533113905","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","true","","","","","","","","","","","","100","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laced-sweep-1","failed","-","","","2024-08-18T02:57:50.000Z","27","pogt1nw5","relu","56","0.6920513041517188","10000","","","0.09036003409768044","","","","none","","","","","","","","","","","asgd","none","","","","","","","","compress","0.8167320247461449","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","false","","mse","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 198 neurons
Hidden Layer 2: 102 neurons
Hidden Layer 3: 52 neurons
Output Layer: 1 neuron","198","102","52","","","","","","","","1.9288701153773915","0"
"jolly-sweep-3","finished","-","","","2024-08-18T02:25:18.000Z","108","fbvtbg6g","gcu","50","0.31217416271744086","10000","","","0.02593337484986352","","","","std","","","","","","","","","","","adadelta","sigmoid","","","","","","","","maintain","0.11598453490221916","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","2","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","true","0.48402961227289143","huber","","","","","","","","","","100","1","","","","","","","270","0.9649721776104376","0.0012269483413547275","0.9732701530376954","0.0007144847186282277","0.9650372425744836","0.0012223944067955015","Input Layer: 10 neurons
Hidden Layer 1: 191 neurons
Hidden Layer 2: 191 neurons
Output Layer: 1 neuron","191","191","","","","","","","0.967759857740872","0.001054609155592819","1.3835284334111986","41.588000257342394"
"polar-sweep-2","finished","-","","","2024-08-18T02:23:21.000Z","113","fbvtbg6g","elish","38","0.40956715680823247","10000","","","0.06683865748778693","","","","std","","","","","","","","","","","asgd","none","","","","","","","","compress","0.5695489541703547","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","2","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","false","","mse","","","","","","","","","","100","1","","","","","","","389","0.9954216923807956","0.00002096090065606404","0.9434871532282229","0.0031937018502503633","0.9954172963131512","0.000021001173081458543","Input Layer: 10 neurons
Hidden Layer 1: 429 neurons
Hidden Layer 2: 222 neurons
Output Layer: 1 neuron","429","222","","","","","","","0.9781087139740564","0.0010785546413292952","1.92895036456343","0"
"earthy-sweep-1","finished","-","","","2024-08-18T02:21:23.000Z","113","fbvtbg6g","relu","45","0.2124364937428133","10000","","","0.06628166315294114","","","","std","","","","","","","","","","","adamax","none","","","","","","","","expand","0.8002577118591452","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","false","","mae","","","","","","","","","","100","1","","","","","","","297","0.9101366810756232","0.008075416088104248","0.8724352457940964","0.016272766515612602","0.9101366810756232","0.008075416088104248","Input Layer: 10 neurons
Hidden Layer 1: 356 neurons
Hidden Layer 2: 627 neurons
Hidden Layer 3: 776 neurons
Hidden Layer 4: 776 neurons
Hidden Layer 5: 776 neurons
Hidden Layer 6: 1024 neurons
Hidden Layer 7: 1024 neurons
Output Layer: 1 neuron","356","627","776","776","776","1024","1024","","0.8975695359817809","0.010807866230607033","1.7640249922479252","0"
"fragrant-sweep-3","failed","-","","","2024-08-18T02:10:16.000Z","26","zlty3ebo","leaky_relu","73","0.6732547110908336","10000","","","0.010867210156593022","","","","none","","","","","","","","","","","nadam","none","","","","","","","","compress","0.8395347513163359","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","true","","mae","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 372 neurons
Hidden Layer 2: 230 neurons
Hidden Layer 3: 142 neurons
Hidden Layer 4: 88 neurons
Hidden Layer 5: 54 neurons
Hidden Layer 6: 33 neurons
Output Layer: 1 neuron","372","230","142","88","54","33","","","","","1.6113039444586468","5.572007695631646"
"misunderstood-sweep-2","failed","-","","","2024-08-18T02:09:40.000Z","27","zlty3ebo","softplus","24","0.7819694340705696","10000","","","0.019221014945676147","","","","none","","","","","","","","","","","adam","none","","","","","","","","compress","0.029954822650806467","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","true","0.6327261314291985","huber","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 149 neurons
Hidden Layer 2: 98 neurons
Hidden Layer 3: 71 neurons
Hidden Layer 4: 42 neurons
Hidden Layer 5: 32 neurons
Hidden Layer 6: 20 neurons
Output Layer: 1 neuron","149","98","71","42","32","20","","","","","1.5086680749392274","71.31064089747461"
"restful-sweep-1","failed","-","","","2024-08-18T02:09:05.000Z","29","zlty3ebo","dsu","21","0.4961378410923931","10000","","","0.043275011928424006","","","","min-max","","","","","","","","","","","adam","sigmoid","","","","","","","","maintain","0.7597720491916934","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","5","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","false","","","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 117 neurons
Hidden Layer 2: 117 neurons
Hidden Layer 3: 223 neurons
Hidden Layer 4: 223 neurons
Hidden Layer 5: 150 neurons
Output Layer: 1 neuron","117","117","223","223","150","","","","","","1.4056654421535455",""
