"Name","State","Notes","User","Tags","Created","Runtime","Sweep","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","activation_function","actual_hidden_layers","apply_penalty","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","hidden_dim3","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_scale_factor_fixed","hidden_dim_strategy","hidden_layers","hidden_layers_max","hidden_layers_min","huber_delta","learning_rate","loss_function","method","model_type","momentum","nesterov","normalization","normalization_method","optimizer","output_activation_function","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.activation_functions","parameters.apply_penaltys","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.dropouts","parameters.epochs","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.hidden_dim3s","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.hidden_layerss","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.learning_rates","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","parameters.normalization_methods","parameters.optimizers","parameters.output_activation_functions","parameters.penalty_factor_max","parameters.penalty_factor_min","parameters.randomize_hidden_dim_strategys","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.scaled_layerss","parameters.time_shift_range_max","parameters.time_shift_range_min","penalty_factor_max","penalty_factor_min","randomize_hidden_dim_strategy","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","scaled_layers","time_shift_range_max","time_shift_range_min","combined_metric","combined_metric_accuracy","combined_metric_loss","epoch","hidden_dim_scale_factor","hidden_layer_11_weight_init","hidden_layer_13_weight_init","hidden_layer_1_neurons","hidden_layer_1_weight_init","hidden_layer_2_neurons","hidden_layer_2_weight_init","hidden_layer_3_neurons","hidden_layer_3_weight_init","hidden_layer_4_neurons","hidden_layer_4_weight_init","hidden_layer_5_neurons","hidden_layer_5_weight_init","hidden_layer_6_neurons","hidden_layer_6_weight_init","hidden_layer_7_neurons","hidden_layer_7_weight_init","hidden_layer_9_weight_init","model_architecture","output_layer_weight_init","penalty_factor","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss"
"dutiful-sweep-306","finished","-","","","2024-08-21T14:57:05.000Z","16","cx89v8ve","","1024","4","gelu","5","false","5","0.3063746372010995","10000","","","","","512","8","","2","1.01","","","","true","expand","","7","2","0.5926462206407184","0.09655076819912645","huber","","","0.23683346921698387","true","","std","nadam","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","1","0","123","1.8874449162911953","","","274","Default (PyTorch)","517","Default (PyTorch)","273","Default (PyTorch)","515","Default (PyTorch)","515","Default (PyTorch)","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 274 neurons
Hidden Layer 2: 517 neurons
Hidden Layer 3: 273 neurons
Hidden Layer 4: 515 neurons
Hidden Layer 5: 515 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","1","0","1","0","1","0"
"splendid-sweep-134","finished","-","","","2024-08-21T13:59:31.000Z","12","cx89v8ve","","1024","4","swish","5","false","64","0.20360776122208163","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","0.17764297913345747","0.011354656227630024","huber","","","0.7326352805658293","false","","std","adamw","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9999575862203168","2.065976861809204e-9","108","1.0925103702723402","","","357","Random","326","Default (PyTorch)","298","Random","298","Random","272","Default (PyTorch)","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 357 neurons
Hidden Layer 2: 326 neurons
Hidden Layer 3: 298 neurons
Hidden Layer 4: 298 neurons
Hidden Layer 5: 272 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9999460309584246","2.9126574485616175e-9","0.999980696744101","3.7261568830437847e-10","0.9999460309584246","2.9126574485616175e-9"
"fast-sweep-392","finished","-","","","2024-08-21T06:33:38.000Z","17","ist7tium","","1024","4","relu","4","false","38","0.3378934308428786","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","0.6289527826412775","0.025694518591325464","huber","","","0.19019410982490947","false","","std","rmsprop","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9999403270516956","9.181775340039168e-9","263","1.9364888167570335","","","84","Default (PyTorch)","43","Default (PyTorch)","22","Default (PyTorch)","11","Default (PyTorch)","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 84 neurons
Hidden Layer 2: 43 neurons
Hidden Layer 3: 22 neurons
Hidden Layer 4: 11 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9999933407979352","4.4344972138787846e-11","0.9998342995592164","2.7456636075839924e-8","0.9999933407979352","4.4344972138787846e-11"
"swift-sweep-253","finished","-","","","2024-08-21T05:39:29.000Z","17","ist7tium","","1024","4","relu","3","false","49","0.6770003999589098","10000","","","","","512","8","","2","1.01","","","","true","expand","","7","2","1.348532776467105","0.07180740334578714","huber","","","0.34979921797335084","false","","min-max","sgd","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.99982782310292","2.9755141165802953e-8","59","1.1147847282204042","","","140","He","156","Default (PyTorch)","156","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 140 neurons
Hidden Layer 2: 156 neurons
Hidden Layer 3: 156 neurons
Output Layer: 1 neuron","Random","0","0.999835247974562","2.7143229885950862e-8","0.999812973370418","3.4978960172793456e-8","0.99983524796378","2.7143233438664538e-8"
"gentle-sweep-405","finished","-","","","2024-08-21T06:42:03.000Z","23","ist7tium","","1024","4","gelu","5","false","79","0.36064823917435057","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","0.7624083402741971","0.005739346737162444","huber","","","0.5863312492874154","true","","none","rmsprop","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9997964518002452","4.7945116321557186e-8","477","1.3269382290135758","","","352","Default (PyTorch)","265","Random","265","Default (PyTorch)","136","Random","72","Default (PyTorch)","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 352 neurons
Hidden Layer 2: 265 neurons
Hidden Layer 3: 265 neurons
Hidden Layer 4: 136 neurons
Hidden Layer 5: 72 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9998535186355796","2.145679012244273e-8","0.9996823181356396","1.0092176694342925e-7","0.9998535186295162","2.1456791898799565e-8"
"skilled-sweep-42","finished","-","","","2024-08-21T13:30:32.000Z","21","cx89v8ve","","1024","4","relu","4","false","70","0.4484147368587905","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","0.5564974608390841","0.015158944129753722","huber","","","0.15578366432545362","true","","min-max","adamax","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9993386627983964","9.273009595744952e-7","550","1.012328958213461","","","236","Default (PyTorch)","236","Default (PyTorch)","238","Random","238","Default (PyTorch)","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 236 neurons
Hidden Layer 2: 236 neurons
Hidden Layer 3: 238 neurons
Hidden Layer 4: 238 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.999833604242079","2.768754825410724e-8","0.9983487799110308","0.000002726527782215271","0.999833604242079","2.768754825410724e-8"
"giddy-sweep-142","finished","-","","","2024-08-21T14:01:28.000Z","36","cx89v8ve","","1024","4","swish","3","false","69","0.29927461249109066","10000","","","","","512","8","","2","1.01","","","","false","expand","","7","2","0.9153831980985384","0.0664845082640881","huber","","","0.06546196527625532","true","","std","adadelta","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.999337588890442","0.0000012912122242733637","1138","1.9457374995455352","","","300","Random","583","Random","1024","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 300 neurons
Hidden Layer 2: 583 neurons
Hidden Layer 3: 1024 neurons
Output Layer: 1 neuron","Random","0","0.999990437933744","9.143311108239516e-11","0.9980318908042004","0.000003873453806590987","0.9999904379333812","9.143311802128906e-11"
"laced-sweep-454","finished","-","","","2024-08-21T15:53:22.000Z","13","cx89v8ve","","1024","4","gelu","5","false","58","0.21531527569567124","10000","","","","","512","8","","2","1.01","","","","true","expand","","7","2","0.8322641674714314","0.0856275242229999","huber","","","0.8610353853858622","true","","std","adamax","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9987891385865872","0.0000015427906798019346","72","1.0673632363300545","","","475","Default (PyTorch)","506","Random","540","Xavier","576","Default (PyTorch)","614","Random","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 475 neurons
Hidden Layer 2: 506 neurons
Hidden Layer 3: 540 neurons
Hidden Layer 4: 576 neurons
Hidden Layer 5: 614 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9985934279362512","0.000001978444970518467","0.9991805598872592","6.714820983688696e-7","0.9985934279362512","0.000001978444970518467"
"toasty-sweep-283","finished","-","","","2024-08-21T14:45:06.000Z","10","cx89v8ve","","1024","4","dsu","7","false","24","0.2733639443829046","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","1.1143401786616702","0.0725918362507904","huber","","","0.16218069537754648","true","","min-max","adamax","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9961291348545344","0.00001634628188185161","59","1.7229495377207418","","","504","Random","292","Random","169","Random","98","Random","56","Random","32","Random","18","Random","","Input Layer: 10 neurons
Hidden Layer 1: 504 neurons
Hidden Layer 2: 292 neurons
Hidden Layer 3: 169 neurons
Hidden Layer 4: 98 neurons
Hidden Layer 5: 56 neurons
Hidden Layer 6: 32 neurons
Hidden Layer 7: 18 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9969467941381792","0.000009322066034656018","0.9944782897807992","0.000030489283744827844","0.9969623206446252","0.000009227495866070967"
"sweet-sweep-191","finished","-","","","2024-08-21T14:16:25.000Z","10","cx89v8ve","","1024","4","dsu","3","false","87","0.2990688874434848","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","0.770128229420701","0.03720325142638312","huber","","","0.2959953767020771","true","","min-max","adam","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9947189901135932","0.00002824674023334713","83","1.270848183574237","","","330","Random","259","Default (PyTorch)","203","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 330 neurons
Hidden Layer 2: 259 neurons
Hidden Layer 3: 203 neurons
Output Layer: 1 neuron","Random","0","0.995131190642812","0.00002370530455664266","0.9938732960229396","0.000037536501622525975","0.9951524836750276","0.000023498414520872757"
