"Name","State","Notes","User","Tags","Created","Runtime","Sweep","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","activation_function","actual_hidden_layers","apply_penalty","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","hidden_dim3","hidden_dim_initial","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_scale_factor","hidden_dim_scale_factor_fixed","hidden_dim_strategy","hidden_layer_1_weight_init","hidden_layer_2_neurons","hidden_layer_2_scale_factor","hidden_layer_2_strategy","hidden_layer_2_weight_init","hidden_layer_3_neurons","hidden_layer_3_scale_factor","hidden_layer_3_strategy","hidden_layer_3_weight_init","hidden_layer_4_neurons","hidden_layer_4_scale_factor","hidden_layer_4_strategy","hidden_layer_4_weight_init","hidden_layer_5_neurons","hidden_layer_5_scale_factor","hidden_layer_5_strategy","hidden_layer_5_weight_init","hidden_layer_6_neurons","hidden_layer_6_scale_factor","hidden_layer_6_strategy","hidden_layer_6_weight_init","hidden_layer_7_neurons","hidden_layer_7_scale_factor","hidden_layer_7_strategy","hidden_layer_7_weight_init","hidden_layers","hidden_layers_max","hidden_layers_min","huber_delta","learning_rate","loss_function","method","model_type","momentum","nesterov","normalization","normalization_method","optimizer","output_activation_function","output_layer_weight_init","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.activation_functions","parameters.apply_penaltys","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.dropouts","parameters.epochs","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.hidden_dim3s","parameters.hidden_dim_initial.distribution","parameters.hidden_dim_initial.max","parameters.hidden_dim_initial.min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_scale_factor.distribution","parameters.hidden_dim_scale_factor.max","parameters.hidden_dim_scale_factor.min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.hidden_layerss","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.learning_rates","parameters.loss_functions","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","parameters.normalization_methods","parameters.optimizers","parameters.output_activation_functions","parameters.penalty_factor.distribution","parameters.penalty_factor.max","parameters.penalty_factor.min","parameters.penalty_factor_max","parameters.penalty_factor_min","parameters.randomize_hidden_dim_strategys","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.scaled_layerss","parameters.time_shift_range_max","parameters.time_shift_range_min","parameters.weight_init_strategys","penalty_factor","penalty_factor_max","penalty_factor_min","randomize_hidden_dim_strategy","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","scaled_layers","time_shift_range_max","time_shift_range_min","weight_init_strategy","combined_metric","combined_metric_accuracy","combined_metric_loss","epoch","hidden_layer_11_weight_init","hidden_layer_13_weight_init","hidden_layer_1_neurons","hidden_layer_9_weight_init","model_architecture","test_accuracy","test_loss","train_accuracy","train_loss","train_val_accuracy","train_val_loss","val_accuracy","val_loss"
"honest-sweep-109","finished","-","","","2024-08-25T19:49:54.000Z","174","3vqhfez0","","1024","4","squ","","true","16","0.5522949509049079","10000","","","","42","","","","","","","","","","1.7997475811939263","false","compress","Random","23","1.7997475811939263","compress","Random","14","1.603112337460625","compress","Random","","","","","","","","","","","","","","","","","3","","","1.4873993236127228","0.09802495969850324","huber","","","0.758736276420871","true","","min-max","adam","none","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.769056138866272","","","false","","","","","","","","uniform","","-Infinity","Infinity","17","","","","","","-Infinity","Infinity","-24123644.991927724","581950295943850.6","-12062699.996106232","290975149513693.8","-1755.000284738018","3083537"
"crisp-sweep-5","finished","-","","","2024-08-23T23:02:31.000Z","180","3sxs2te7","","1024","4","gelu","6","false","33","0.6138627527754428","10000","","","","","","512","8","","2","1.01","","","","1.4563942668238536","false","expand","Random","616","","","Random","1019","","","Random","1024","","","Random","1024","","","Random","1024","","","Random","","","","","","7","2","","0.08290828318224917","mse","","","0.4708499134699194","false","","none","rmsprop","none","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","100","1","false","","","","","","","","","","-Infinity","Infinity","17","","","423","","Input Layer: 10 neurons
Hidden Layer 1: 423 neurons
Hidden Layer 2: 616 neurons
Hidden Layer 3: 1019 neurons
Hidden Layer 4: 1024 neurons
Hidden Layer 5: 1024 neurons
Hidden Layer 6: 1024 neurons
Output Layer: 1 neuron","-Infinity","Infinity","-1815867295840431.5","3.2973740361028444e+30","-1763554838558276","3.1128622617892077e+30","-1711242381276120.5","2.928350487475571e+30"
"confused-sweep-52","finished","-","","","2024-08-23T06:11:29.000Z","170","cnobgnyz","","1024","4","squ","2","true","37","0.2131616830255566","10000","","","","","","512","8","","2","1.01","","","","1.68168967962547","true","expand","Default (PyTorch)","341","","","Random","","","","","","","","","","","","","","","","","","","","","","7","2","","0.04428088900053116","mse","","","0.3213656961814481","true","","std","nadam","none","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.89956551594549","100","1","true","","","","","","","","","","-Infinity","Infinity","17","","","203","","Input Layer: 10 neurons
Hidden Layer 1: 203 neurons
Hidden Layer 2: 341 neurons
Output Layer: 1 neuron","-Infinity","Infinity","-559947.40265153","313542213632","-282666.4625459217","156785614128","-5385.522440313416","29014624"
"helpful-sweep-84","finished","-","","","2024-08-26T02:24:14.000Z","172","02pkstq1","","1024","4","squ","","false","11","0.692438881590705","10000","","","","232","","","","","","","","","","1.200080717176562","false","expand","Default (PyTorch)","278","1.200080717176562","expand","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","2","","","","0.05320453594172151","mse","","","0.024840868773573044","true","","std","adadelta","none","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.759623277536061","","","false","","","","","","","","individual","","-Infinity","Infinity","17","","","","","","-Infinity","Infinity","-4053.4709889207497","16438735","-2367.4246144876697","8452187.53125","-681.3782400545903","465640.0625"
"smooth-sweep-24","finished","-","","","2024-08-25T05:01:21.000Z","561","uvrgdrnd","","1024","4","mish","","false","36","0.2303616918372008","10000","","","","51","","","","","","","","","","1.9649207570944425","false","compress","Default (PyTorch)","25","1.9649207570944425","compress","Default (PyTorch)","20","1.2040557444394642","compress","Default (PyTorch)","12","1.5696346505982022","compress","Default (PyTorch)","8","1.472867597730907","compress","Default (PyTorch)","6","1.2616225368181817","compress","Default (PyTorch)","","","","","6","","","0.8793463831969154","0.05397158436028622","huber","","","0.19524183952431756","true","","none","adamax","sigmoid","LeCun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.72809146774789","","","false","","","","","","","","uniform","","0.9701208118311274","0.001279604235757385","68","","","","","","0.9929349370680696","0.00004991511423213524","0.9449335354100852","0.0030323155224323273","0.9587137492126564","0.0018944487965200096","0.9724939630152272","0.000756582070607692"
"graceful-sweep-72","finished","-","","","2024-08-25T08:07:20.000Z","639","uvrgdrnd","","1024","4","elu","","true","41","0.33576540213940614","10000","","","","138","","","","","","","","","","1.2887765547083048","true","maintain","Default (PyTorch)","138","1.2887765547083048","maintain","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","2","","","1.089814244829029","0.02209449368035948","huber","","","0.09078135408825662","true","","std","adamw","sigmoid","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.280698525401185","","","false","","","","","","","","uniform","","0.9712494308245976","0.001001693470243481","77","","","","","","0.989766617311454","0.0001047221212502336","0.9596493173572382","0.0016281775897368789","0.9619908375811697","0.001450179144740105","0.9643323578051012","0.0012721806997433305"
"balmy-sweep-81","finished","-","","","2024-08-26T02:07:30.000Z","638","02pkstq1","","1024","4","gelu","","false","26","0.6488651710441546","10000","","","","110","","","","","","","","","","1.3579256738021768","true","expand","Random","149","1.3579256738021768","expand","Random","202","1.3579256738021768","expand","Random","274","1.3579256738021768","expand","Random","","","","","","","","","","","","","4","","","","0.017714989709592108","mse","","","0.44247037502727427","false","","min-max","adamax","sigmoid","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.047479616913265","","","false","","","","","","","","uniform","","0.953346924709233","0.0026693983096792964","77","","","","","","0.9847413038622004","0.00023282780782570475","0.9380075501544856","0.003843063837848604","0.9376497351327492","0.003887683560606092","0.9372919201110128","0.003932303283363581"
"cool-sweep-107","finished","-","","","2024-08-25T10:10:35.000Z","644","uvrgdrnd","","1024","4","mish","","true","27","0.3940738025988878","10000","","","","142","","","","","","","","","","1.471123347289733","false","maintain","Random","142","1.471123347289733","maintain","Default (PyTorch)","142","1.471123347289733","maintain","Random","142","1.471123347289733","maintain","Default (PyTorch)","142","1.471123347289733","maintain","Default (PyTorch)","142","1.471123347289733","maintain","Default (PyTorch)","142","1.471123347289733","maintain","Random","7","","","","0.0204435821000109","mse","","","0.4561380703094555","false","","std","adamax","sigmoid","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.208453631749713","","","false","","","","","","","","individual","","0.9651228591258932","0.0016665927299375956","77","","","","","","0.9833794690779636","0.0002762420481303707","0.935372022627966","0.004176775459200144","0.955994554149858","0.002361768070841208","0.97661708567175","0.0005467606824822724"
"quiet-sweep-60","finished","-","","","2024-08-25T17:01:47.000Z","525","3vqhfez0","","1024","4","selu","","false","23","0.7764413041092713","10000","","","","44","","","","","","","","","","1.6481093384742065","false","expand","Random","72","1.6481093384742065","expand","Random","","","","","","","","","","","","","","","","","","","","","2","","","0.47599109854903865","0.02672521413242251","huber","","","0.6615135946815203","true","","std","adam","sigmoid","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.240575948188092","","","true","","","","","","","","uniform","","0.9494835195088144","0.00293870339778045","63","","","","","","0.9766585138215812","0.0005448249770173182","0.9410265835227146","0.003477863851003349","0.9358960223524312","0.004135642608162016","0.9307654611821478","0.0047934213653206825"
"astral-sweep-12","finished","-","","","2024-08-23T19:53:42.000Z","648","b6xzs45u","","1024","4","swish","4","false","24","0.20446728960028093","10000","","","","","","512","8","","2","1.01","","","","1.0320446074448455","false","expand","Default (PyTorch)","392","","","Default (PyTorch)","445","","","Default (PyTorch)","863","","","Default (PyTorch)","","","","","","","","","","","","","","7","2","","0.00015831614922734135","mse","","","0.1921456550898276","false","","min-max","adam","sigmoid","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","100","1","false","","","","","","","","","","0.9130358990939652","0.008994282766555747","77","","","380","","Input Layer: 10 neurons
Hidden Layer 1: 380 neurons
Hidden Layer 2: 392 neurons
Hidden Layer 3: 445 neurons
Hidden Layer 4: 863 neurons
Output Layer: 1 neuron","0.9634698056794906","0.0013344550970941782","0.8723396796644294","0.016297157388180494","0.8878189458012028","0.01282419660128653","0.9032982119379762","0.009351235814392568"
