"Name","epochs","dropout","momentum","nesterov","optimizer","batch_size","huber_delta","apply_penalty","hidden_layers","learning_rate","loss_function","penalty_factor","hidden_dim_initial","activation_function","hidden_dim_strategy","normalization_method","weight_init_strategy","absolute_dim_range_max","absolute_dim_range_min","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_dim_scale_factor","hidden_layer_2_strategy","hidden_layer_3_strategy","output_layer_weight_init","hidden_layer_1_weight_init","hidden_layer_2_weight_init","hidden_layer_3_weight_init","output_activation_function","hidden_layer_2_scale_factor","hidden_layer_3_scale_factor","hidden_dim_scale_factor_fixed","randomize_hidden_dim_strategy","_wandb","hidden_layers_max","hidden_layers_min","penalty_factor_max","penalty_factor_min","actual_hidden_layers","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_layer_4_neurons","hidden_layer_5_neurons","hidden_layer_6_neurons","hidden_layer_4_strategy","hidden_layer_5_strategy","hidden_layer_6_strategy","hidden_layer_4_weight_init","hidden_layer_5_weight_init","hidden_layer_6_weight_init","hidden_layer_4_scale_factor","hidden_layer_5_scale_factor","hidden_layer_6_scale_factor","hidden_layer_7_neurons","hidden_layer_7_strategy","hidden_layer_7_weight_init","hidden_layer_7_scale_factor","Relative Time (Process)","Step","Wall Time","_wandb.runtime","combined_metric_accuracy","combined_metric_loss","epoch","test_accuracy","test_loss","train_accuracy","train_loss","train_val_accuracy","train_val_loss","val_accuracy","val_loss","hidden_layer_1_neurons","model_architecture"
"honest-sweep-109","10000","0.5522949509049079","0.758736276420871","true","adam","16","1.4873993236127228","true","3","0.09802495969850324","huber","9.769056138866272","42","squ","compress","min-max","uniform","1024","4","23","14","1.7997475811939263","compress","compress","Random","Random","Random","Random","none","1.7997475811939263","1.603112337460625","false","false","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724615397,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","","","","","","","","","","","","","","","","","","","","","","","","","","165.62130665779114","51","1724615562.9171646","165","-Infinity","Infinity","17","-Infinity","Infinity","-24123644.991927724","581950295943850.6","-12062699.996106232","290975149513693.8","-1755.000284738018","3083537","",""
"helpful-sweep-84","10000","0.692438881590705","0.024840868773573044","true","adadelta","11","","false","2","0.05320453594172151","mse","5.759623277536061","232","squ","expand","std","individual","1024","4","278","","1.200080717176562","expand","","Default (PyTorch)","Default (PyTorch)","Default (PyTorch)","","none","1.200080717176562","","false","false","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724639056,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","","","","","","","","","","","","","","","","","","","","","","","","","","164.3262107372284","51","1724639221.2350168","164","-Infinity","Infinity","17","-Infinity","Infinity","-4053.4709889207497","16438735","-2367.4246144876697","8452187.53125","-681.3782400545903","465640.0625","",""
"crisp-sweep-5","10000","0.6138627527754428","0.4708499134699194","false","rmsprop","33","","false","","0.08290828318224917","mse","0","","gelu","expand","none","","1024","4","616","1019","1.4563942668238536","","","Default (PyTorch)","Random","Random","Random","none","","","false","false","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,19,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724454154,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","7","2","100","1","6","512","8","2","1.01","1024","1024","1024","","","","Random","Random","Random","","","","","","","","172.71780037879944","68","1724454326.7737415","173","-Infinity","Infinity","17","-Infinity","Infinity","-1815867295840431.5","3.2973740361028444e+30","-1763554838558276","3.1128622617892077e+30","-1711242381276120.5","2.928350487475571e+30","423","Input Layer: 10 neurons
Hidden Layer 1: 423 neurons
Hidden Layer 2: 616 neurons
Hidden Layer 3: 1019 neurons
Hidden Layer 4: 1024 neurons
Hidden Layer 5: 1024 neurons
Hidden Layer 6: 1024 neurons
Output Layer: 1 neuron"
"confused-sweep-52","10000","0.2131616830255566","0.3213656961814481","true","nadam","37","","true","","0.04428088900053116","mse","47.89956551594549","","squ","expand","std","","1024","4","341","","1.68168967962547","","","Random","Default (PyTorch)","Random","","none","","","true","true","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,19,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724393492,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","7","2","100","1","2","512","8","2","1.01","","","","","","","","","","","","","","","","","162.93314838409424","60","1724393655.2385974","163","-Infinity","Infinity","17","-Infinity","Infinity","-559947.40265153","313542213632","-282666.4625459217","156785614128","-5385.522440313416","29014624","203","Input Layer: 10 neurons
Hidden Layer 1: 203 neurons
Hidden Layer 2: 341 neurons
Output Layer: 1 neuron"
"smooth-sweep-24","10000","0.2303616918372008","0.19524183952431756","true","adamax","36","0.8793463831969154","false","6","0.05397158436028622","huber","9.72809146774789","51","mish","compress","none","uniform","1024","4","25","20","1.9649207570944425","compress","compress","LeCun","Default (PyTorch)","Default (PyTorch)","Default (PyTorch)","sigmoid","1.9649207570944425","1.2040557444394642","false","false","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724562083,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","","","","","","","","","","12","8","6","compress","compress","compress","Default (PyTorch)","Default (PyTorch)","Default (PyTorch)","1.5696346505982022","1.472867597730907","1.2616225368181817","","","","","552.1825053691864","204","1724562635.5353725","552","0.9701208118311274","0.001279604235757385","68","0.9929349370680696","0.00004991511423213524","0.9449335354100852","0.0030323155224323273","0.9587137492126564","0.0018944487965200096","0.9724939630152272","0.000756582070607692","",""
"graceful-sweep-72","10000","0.33576540213940614","0.09078135408825662","true","adamw","41","1.089814244829029","true","2","0.02209449368035948","huber","7.280698525401185","138","elu","maintain","std","uniform","1024","4","138","","1.2887765547083048","maintain","","Default (PyTorch)","Default (PyTorch)","Default (PyTorch)","","sigmoid","1.2887765547083048","","true","false","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724573247,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","","","","","","","","","","","","","","","","","","","","","","","","","","627.0663146972656","231","1724573874.4957647","627","0.9712494308245976","0.001001693470243481","77","0.989766617311454","0.0001047221212502336","0.9596493173572382","0.0016281775897368789","0.9619908375811697","0.001450179144740105","0.9643323578051012","0.0012721806997433305","",""
"balmy-sweep-81","10000","0.6488651710441546","0.44247037502727427","false","adamax","26","","false","4","0.017714989709592108","mse","8.047479616913265","110","gelu","expand","min-max","uniform","1024","4","149","202","1.3579256738021768","expand","expand","Random","Random","Random","Random","sigmoid","1.3579256738021768","1.3579256738021768","true","false","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724638052,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","","","","","","","","","","274","","","expand","","","Random","","","1.3579256738021768","","","","","","","630.6415019035339","231","1724638683.0079749","630","0.953346924709233","0.0026693983096792964","77","0.9847413038622004","0.00023282780782570475","0.9380075501544856","0.003843063837848604","0.9376497351327492","0.003887683560606092","0.9372919201110128","0.003932303283363581","",""
"cool-sweep-107","10000","0.3940738025988878","0.4561380703094555","false","adamax","27","","true","7","0.0204435821000109","mse","5.208453631749713","142","mish","maintain","std","individual","1024","4","142","142","1.471123347289733","maintain","maintain","Random","Random","Default (PyTorch)","Random","sigmoid","1.471123347289733","1.471123347289733","false","false","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724580637,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","","","","","","","","","","142","142","142","maintain","maintain","maintain","Default (PyTorch)","Default (PyTorch)","Default (PyTorch)","1.471123347289733","1.471123347289733","1.471123347289733","142","maintain","Random","1.471123347289733","636.6321542263031","231","1724581274.3073142","636","0.9651228591258932","0.0016665927299375956","77","0.9833794690779636","0.0002762420481303707","0.935372022627966","0.004176775459200144","0.955994554149858","0.002361768070841208","0.97661708567175","0.0005467606824822724","",""
"quiet-sweep-60","10000","0.7764413041092713","0.6615135946815203","true","adam","23","0.47599109854903865","false","2","0.02672521413242251","huber","2.240575948188092","44","selu","expand","std","uniform","1024","4","72","","1.6481093384742065","expand","","Random","Random","Random","","sigmoid","1.6481093384742065","","false","true","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724605308,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","","","","","","","","","","","","","","","","","","","","","","","","","","518.7543742656708","189","1724605827.625749","519","0.9494835195088144","0.00293870339778045","63","0.9766585138215812","0.0005448249770173182","0.9410265835227146","0.003477863851003349","0.9358960223524312","0.004135642608162016","0.9307654611821478","0.0047934213653206825","",""
"astral-sweep-12","10000","0.20446728960028093","0.1921456550898276","false","adam","24","","false","","0.00015831614922734135","mse","0","","swish","expand","min-max","","1024","4","392","445","1.0320446074448455","","","Random","Default (PyTorch)","Default (PyTorch)","Default (PyTorch)","sigmoid","","","false","false","{""desc"":null,""value"":{""t"":{""1"":[1,5,53,55],""2"":[1,5,53,55],""3"":[2,19,23,37],""4"":""3.10.4"",""5"":""0.17.7"",""8"":[5],""13"":""linux-x86_64""},""framework"":""torch"",""start_time"":1724442824,""cli_version"":""0.17.7"",""is_jupyter_run"":false,""python_version"":""3.10.4"",""is_kaggle_kernel"":false}}","7","2","100","1","4","512","8","2","1.01","863","","","","","","Default (PyTorch)","","","","","","","","","","641.5544292926788","244","1724443466.2479153","641","0.9130358990939652","0.008994282766555747","77","0.9634698056794906","0.0013344550970941782","0.8723396796644294","0.016297157388180494","0.8878189458012028","0.01282419660128653","0.9032982119379762","0.009351235814392568","380","Input Layer: 10 neurons
Hidden Layer 1: 380 neurons
Hidden Layer 2: 392 neurons
Hidden Layer 3: 445 neurons
Hidden Layer 4: 863 neurons
Output Layer: 1 neuron"
